Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Masculino,Não,Sim_1,Sim_2,Ensino superior completo,Pela educação regular,Sim_3,Já fiz,Talvez,"Aulas gravadas e ao vivo, Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência",Português e Redação,"Sim, todos os dias",Sim_4,18 a 24 anos,São Luís,Deslocamento para assistir as aulas.
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Não,Não,Sim,Ensino superior incompleto,Pela educação regular,Não,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Trilhas de aprendizagem por idade e interesse","Sim, com frequência","Matemática, Física, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Sim,18 a 24 anos,,Oportunidades e educação de qualidade
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Masculino,Não,Sim,Sim,Ensino médio completo,Pela educação regular,Não,Vou fazer este ano,Sim,Trilhas de aprendizagem por idade e interesse,"Sim, com frequência",Matemática,"Sim, todos os dias",Não,18 a 24 anos,Bacabal - MA,Criminalidade
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Não,Sim,Sim,Ensino superior incompleto,Pela educação regular,Não,Já fiz,Sim,"Aulas gravadas e ao vivo, Tutoria voluntária, Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência","Matemática, Língua Estrangeira (Inglês ou Espanhol)","Sim, algumas vez por semana",Sim,25 a 39 anos,Olho d'Água das Cunhãs-MA,Falta de professores qualificados
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Feminino,Sim,Sim,Sim,Ensino superior incompleto,Pela educação regular,Sim,Já fiz,Sim,"Conteúdo regionalizado (cultura, geografia, história)",Às vezes,"Matemática, Química, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Sim,18 a 24 anos,Bacabal - MA,Escolas com más estruturas
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Masculino,Não,Sim,Sim,Ensino médio completo,Pela educação regular,Não,Já fiz,Sim,"Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento",Raramente,"Português e Redação, Interpretação de texto","Sim, todos os dias",Não,18 a 24 anos,,
Até 1 Salário Mínimo (até R$ 1.518),Sim,Estudante,Masculino,Não,Sim,Sim,Ensino médio completo,Pela educação regular,Não,Já fiz,Talvez,"Conteúdo regionalizado (cultura, geografia, história), Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência","Matemática, Física","Sim, todos os dias",Não,18 a 24 anos,São Luís - MA,
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Estudante,Masculino,Não,Não,Sim,Ensino superior incompleto,Pela educação regular,Não,Já fiz,Talvez,"Aulas gravadas e ao vivo, Trilhas de aprendizagem por idade e interesse, Painéis de progresso e engajamento","Sim, com frequência",Língua Estrangeira (Inglês ou Espanhol),"Sim, todos os dias",Sim,18 a 24 anos,São Luís - MA,Conteúdo acessível e bom
De 1 a 2 Salário Mínimo (R$ 1.519 a R$ 3.036),Sim,Estudante,Masculino,Sim,Sim,Sim,Ensino superior completo,Pela educação regular,Não,Já fiz,Sim,Aulas gravadas e ao vivo,"Sim, com frequência",Português e Redação,"Sim, todos os dias",Não,18 a 24 anos,Olho d'Água das Cunhãs-MA,acesso a cursos online
Até 1 Salário Mínimo (até R$ 1.518),Sim,Responsável familiar,Feminino,Sim,Sim,Sim,Ensino superior incompleto,Pela educação regular,Não,Já fiz,Sim,Aulas gravadas e ao vivo,"Sim, com frequência","Física, Química, Filosofia / Sociologia, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Não,25 a 39 anos,,"Não conheço meu bairro sobre a relação com a educação Infelizmente, enfrentamos a criminalidade diária"
Mais de 5 Salário Mínimo (acima de R$ 7.590),Sim,Responsável familiar,Masculino,Sim,Sim,Sim,Ensino superior completo,Pela educação regular,Sim,Já fiz,Talvez,"Aulas gravadas e ao vivo, Painéis de progresso e engajamento","Sim, com frequência","Biologia, Língua Estrangeira (Inglês ou Espanhol)","Sim, todos os dias",Sim,25 a 39 anos,Chapadinha - MA,Falta de professores qualificados
